Temperature,Stage,Development_Time,Switch,Temp1,Temp2,Switch_Stage,Switch_Times,Exact_Time,Start_Time,Exact_Switch_Time,weekday_exact,time_exact,weekday_switch,time_switch
26.0,20,29.185766105867568,True,26.0,28.0,7.0,3.531403026684842,2024-09-17 14:11:08.757981,2024-09-16 09:00:00,2024-09-16 12:31:53.050896,1,14:11:08.757981,0.0,12:31:53.050896
26.0,20,29.24112790630624,True,26.0,28.0,9.0,5.2966773917274015,2024-09-17 14:14:28.060463,2024-09-16 09:00:00,2024-09-16 14:17:48.038610,1,14:14:28.060463,0.0,14:17:48.038610
26.0,20,29.367551228072323,True,26.0,28.0,11.0,8.286593109090555,2024-09-17 14:22:03.184421,2024-09-16 09:00:00,2024-09-16 17:17:11.735193,1,14:22:03.184421,0.0,17:17:11.735193
26.0,20,29.42011470199005,True,26.0,28.0,12.0,10.25960597437187,2024-09-17 14:25:12.412927,2024-09-16 09:00:00,2024-09-16 19:15:34.581508,1,14:25:12.412927,0.0,19:15:34.581508
26.0,20,29.698168120290404,True,26.0,28.0,14.0,14.948304910896873,2024-09-17 14:41:53.405233,2024-09-16 09:00:00,2024-09-16 23:56:53.897679,1,14:41:53.405233,0.0,23:56:53.897679
26.0,20,29.74255757199897,True,26.0,28.0,15.0,17.507005440871744,2024-09-17 14:44:33.207259,2024-09-16 09:00:00,2024-09-17 02:30:25.219587,1,14:44:33.207259,1.0,02:30:25.219587
26.0,20,29.768618829410514,True,26.0,28.0,19.0,27.25203623255541,2024-09-17 14:46:07.027786,2024-09-16 09:00:00,2024-09-17 12:15:07.330437,1,14:46:07.027786,1.0,12:15:07.330437
28.0,20,29.85468400262148,True,28.0,26.0,18.0,24.00382047214794,2024-09-17 14:51:16.862409,2024-09-16 09:00:00,2024-09-17 09:00:13.753700,1,14:51:16.862409,1.0,09:00:13.753700
26.0,20,30.116173191111187,True,26.0,28.0,13.0,13.10577846334624,2024-09-17 15:06:58.223488,2024-09-16 09:00:00,2024-09-16 22:06:20.802468,1,15:06:58.223488,0.0,22:06:20.802468
28.0,20,30.13364689307965,True,28.0,26.0,16.0,19.187656225617765,2024-09-17 15:08:01.128815,2024-09-16 09:00:00,2024-09-17 04:11:15.562412,1,15:08:01.128815,1.0,04:11:15.562412
